Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CB 41,26.565000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,Calling Channel,,,,
2,CB 42,26.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,Calling Channel,,,,
3,CB 43,26.585000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
4,CB 44,26.595000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
5,CB 45,26.605000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
6,CB 46,26.615000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
7,CB 47,26.625000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
8,CB 48,26.635000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
9,CB 49,26.645000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
10,CB 50,26.655000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
11,CB 51,26.665000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
12,CB 52,26.675000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
13,CB 53,26.685000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
14,CB 54,26.695000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
15,CB 55,26.705000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
16,CB 56,26.715000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
17,CB 57,26.725000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
18,CB 58,26.735000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
19,CB 59,26.745000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
20,CB 60,26.755000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
21,CB 61,26.765000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
22,CB 62,26.775000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
23,CB 63,26.785000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
24,CB 64,26.795000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
25,CB 65,26.805000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
26,CB 66,26.815000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
27,CB 67,26.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
28,CB 68,26.835000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
29,CB 69,26.845000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
30,CB 70,26.855000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
31,CB 71,26.865000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
32,CB 72,26.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
33,CB 73,26.885000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
34,CB 74,26.895000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
35,CB 75,26.905000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
36,CB 76,26.915000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
37,CB 77,26.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
38,CB 78,26.935000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
39,CB 79,26.945000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
40,CB 80,26.955000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,20.00,,4.0W,,,,,
