Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,PMR 01,446.006250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
2,PMR 02,446.018750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
3,PMR 03,446.031250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
4,PMR 04,446.043750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
5,PMR 05,446.056250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
6,PMR 06,446.068750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
7,PMR 07,446.081250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
8,PMR 08,446.093750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,Calling Channel,,,,
9,PMR 09,446.106250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
10,PMR 10,446.118750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
11,PMR 11,446.131250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
12,PMR 12,446.143750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
13,PMR 13,446.156250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
14,PMR 14,446.168750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
15,PMR 15,446.181250,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
16,PMR 16,446.193750,,0.000000,Tone,67.0,67.0,023,NN,023,Tone->Tone,NFM,25.00,,0.5W,,,,,
