Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,RHA 01,68.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,road services,,,,
2,RHA 02,68.300000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,car racing,,,,
3,RHA 03,68.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,voluntary rescue services,,,,
4,RHA 04,68.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,car racing,,,,
5,RHA 05,68.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
6,RHA 06,68.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
7,RHA 07,68.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
8,RHA 08,67.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
9,RHA 09,71.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
10,RHA 10,71.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
11,RHA 11,71.475000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
12,RHA 12,71.625000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
13,RHA 13,70.200000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
14,RHA 14,71.025000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
15,RHA 15,71.050000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
16,RHA 16,71.100000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
17,RHA 17,68.225000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,voluntary rescue services,,,,
18,RHA 18,68.375000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
19,RHA 19,71.175000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
20,RHA 20,71.750000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
21,RHA 21,71.900000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,25W,recreational and professional,,,,
22,RHA 22,71.350000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
23,RHA 23,71.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
24,RHA 24,71.575000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
25,RHA 25,71.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
26,RHA 26,72.325000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,,5.0W,recreational and professional,,,,
